Course Name,Multi Categories,Course URL,Course Provider,Short Description,Long Description,Difficulty,Duration,Commitment,Number of Enrolled,Cost,Alternative Options,Language,Video Language,Prerequisites,
Hybrid Vehicles,Engineering,https://www.edx.org/course/hybrid-vehicles,,"Learn to design hybrid powertrains which meet the needs of modern vehicles, by combining the strengths of both electric motors and combustion engines","Why are hybrid vehicles still more common than battery electric ones? Why are electric vehicles still more expensive than conventional or hybrid ones? In this course, you will get the answers to this and much more. 
While electric motors can improve vehicles regarding performance, energy consumption and emissions, they suffer from high cost and weight of batteries. Smart combinations of electric motors and combustion engines in a hybrid powertrain can combine these strengths with the advantages of combustion engines. 
This course is aimed at learners with a bachelor's degree or engineers in the automotive industry who need to develop their knowledge about hybridpowertrains. 
Inthis course, we willexamine different mechanical layouts of hybrid powertrains and how they influence the performance and complexity of the powertrain. Different sizing of powertrains in micro, mild, full hybrids, as well as plug-in hybrids, is also discussed and you'll learn how they can be modelled and analyzed for example by simulation of driving cycles. You will also learn about the Energy Management system and how this controls the hybrid powertrain modes and when to charge and discharge the battery. 
As a result of support from MathWorks, students will be granted access to MATLAB/Simulink for the duration of the course.",Advanced,7 weeks,10–20 hours per week,"24,535",Free,"₹ 20,362",English,English, ChM009x - Electric and ConventionalVehicles,
Hyperledger Besu Essentials: Creating a Private Blockchain Network,Computer Science,https://www.edx.org/course/hyperledger-besu-essentials-creating-a-private-blockchain-network,,"Want to get hands-on experience with a blockchain? Start your blockchain journey by getting to know the functionality and features of the open-source, Java-based Ethereum client, Hyperledger Besu.","Learning more about how an Ethereum client works is crucial for Developers and DevOps professionals who are looking to create a private blockchain network or to connect to Ethereum mainnet. As individuals and organizations adopt Ethereum as part of their business processes, Developers and DevOps professionals will be able to use the knowledge gained in this course to create blockchain networks and deploy decentralized applications to these networks. This course will provide a learner with insight into how to configure and use Hyperledger Besu to do these activities, and provide examples of where Hyperledger Besu is being used.
This course is designed for experienced Developers and DevOps professionals who are interested in learning about Hyperledger Besu features and capabilities, and who are looking to expand their blockchain architecture knowledge. It will be also helpful to blockchain architects who are looking to learn more about Ethereum Virtual Machine compatible blockchains.
In this course, you will learn how to install Hyperledger Besu, start up Hyperledger Besu for MainNet and build a Hyperledger Besu private network. You will also learn how to create a private network with privacy and send a private transaction in a private network using Tessera. 
The course provides you with a sub-set of skills required for a career change into Blockchain-focused developer operations roles.",Introductory,6 weeks,1–2 hours per week,,Free,"₹ 12,185",English,English," 

Knowledge of Java and tools like Docker and the command line/terminal for the operating system 


Familiarity with text/code editors used in the context of software development or DevOps practices


Besu requires 4GB of RAM


For public Ethereum networks, including MainNet and TestNets such as Ropsten, Besu requires a minimum of 8GB of RAM


Syncing to the Ethereum MainNet requires 750GB of disk space


Java 11+


For Orion, libsodium is required

",
Hyperledger Sawtooth for Application Developers,Computer Science,https://www.edx.org/course/hyperledger-sawtooth-for-application-developers-2,,Learn how to code a Hyperledger Sawtooth sample application.,"Over the past few years, there has been a lot of talk about blockchain and its potential in the enterprise landscape. Today, blockchain is no longer a hype: it has become a reality, and is transforming processes and how enterprises do business, across a wide range of industries. 
Hyperledger Sawtooth is an open source project under the Hyperledger umbrella, and works as an enterprise-level blockchain system used for building, deploying, and running distributed ledger applications and networks. 
The Hyperledger Sawtooth for Application Developers course starts with the basics of blockchain technology and the concepts of permissioned networks, then describes the important features of Hyperledger Sawtooth. 
It includes a sample distributed application, Sawtooth Simple Supply, that is based on a simplified supply chain example. This blockchain application includes a web-app frontend, a transaction processor (the equivalent of a smart contract) for the blockchain business logic, and a custom REST API for communication. Learning how to code this sample application will teach you about important Hyperledger Sawtooth concepts and will help you understand how to create your own enterprise-level Hyperledger Sawtooth application. 
The 2019 Technology Industry Innovation conducted by KPMG around the adoption of blockchain technologies suggests that 41 percent of businesses are likely to adopt and implement blockchain into their business operations in the next three years. Another important aspect revealed by this survey is that 48 percent of enterprises believe that blockchain will change the way they conduct and manage their business activities in the near future. 
Want to be part of the blockchain revolution? Enroll today and learn all about developing applications with Hyperledger Sawtooth.",Intermediate,14 weeks,1–2 hours per week,,Free,"₹ 13,820",English,English," This course requires programming experience with Python and JavaScript, or similar languages, as well as general familiarity with protocol buffers (protobufs). It is also helpful, though not required, to understand the basics of the ZeroMQ (ZMQ) messaging library. The custom REST API in this course uses ZMQ to communicate with the validator.",
Hyperloop: Changing the Future of Transportation,Engineering,https://www.edx.org/course/hyperloop-changing-the-future-of-transportation,,"Learn the fundamentals, feasibility and potential of this revolutionary mode of transportation, which is as fast as an airplane with the ease and energy of a train system.","Is Hyperloop really worth the hype? Is this passenger pod levitating in a vacuum tube a viable alternative to curb the environmental impact of current modes of transport?
This revolutionary and more sustainable mode of transportation for passengers or freight can reach speeds over 1000 kilometers per hour, decreasing travel time significantly. For example, one could go from Amsterdam to Paris in 30 minutes instead of four hours.
Ever wondered how levitation works? Or what the passenger experience will be like? Or how much infrastructure would cost and whether the Hyperloop concept is technically and commercially viable?
Regardless of your background, this course will teach you how this technology works and will prove why it is worth investing in. Key topics include the core concepts behind the Hyperloop, current developments on the technology, implementation, standardization and the future solutions hyperloop will offer and the challenges it faces.
Through discussions with fellow participants and critical thinking you will form your own vision and develop your own ideas about this exciting new technology and its future.
This course is for anyone interested in the hyperloop concept. And if you seek more in-depth knowledge, or if you are interested in pursuing a career or doing research in this field, the course will also offer in-depth additional resources.
This course has been designed by the Delft Hyperloop dream team, winners of the SpaceX Hyperloop Pod Competition in 2017. This award-winning team consists of TU Delft students, international experts and partner companies who will also share their expertise.
Recently, a lot of research has been conducted by the Delft Hyperloop team. Therefore, we are able to offer you more in-depth information about topics such as levitation, propulsion, implementation, economics, network and more! 
A winning team
This course has been designed by the Delft Hyperloop dream team, winners of the SpaceX Hyperloop Pod Competition in 2017. This award-winning team consists of TU Delft students –who won the Excellence in the Open Education Awards in 2019–, international experts and partner companies who will also share their expertise.",Intermediate,6 weeks,4–6 hours per week,,Free,"₹ 11,367",English,English, Secondary school physics,
Hypersonics – from Shock Waves to Scramjets,Engineering,https://www.edx.org/course/hypersonics-from-shock-waves-to-scramjets-2,,Understand flight at speeds greater than Mach 5 and discover how to analyse the performance of a scramjet.,"A flow is called hypersonic if the Mach number is greater than 5. This means that the flow speed is more than five times the speed of sound. In air at room temperature, the speed of sound is around 340 m/s, so a Mach 5 flow would have a flow speed of 1.7 km/s or just over 6,000 km/h. When a rocket launches a satellite into earth orbit, when a probe enters the atmosphere of another planet or when an aircraft is propelled by a supersonic combustion ramjet engine (a scramjet), hypersonic flows are encountered. Hypersonics - from Shock Waves to Scramjets introduces the basic concepts associated with flight at speeds greater than Mach 5 and takes students to the stage where they can analyse the performance of a scramjet engine that might be used in a future access-to-space system.",Advanced,4 weeks,4–8 hours per week,"21,605",Free,"₹ 16,273",English,English," This is an open course and anyone can choose to participate and learn about hypersonics. If, however, you want to delve into the field deeply, it is recommended that you have a good understanding of introductory concepts in Calculus, Fluid Mechanics and Thermodynamics. These will enable you to fully participate in the course, particularly the assessment tasks. The following online courses could be useful for you to access before you start to get yourself up to speed:

Differential Equations (MIT Opencourse): Unit 1: Basic DE's, Linear ODE's, Integrating Factors
Calculus with Applications (MIT Opencourse): Any calculus related math required for our course
Thermodynamics and Kinetics (MIT Opencourse): Look up lecture notes to cover basic introductory thermodynamics
",
"I ""Heart"" Stats: Learning to Love Statistics",Math,https://www.edx.org/course/i-heart-stats-learning-to-love-statistics,,"Is your relationship with statistics dysfunctional? We can help: Get to know stats, build a healthy bond, and maybe even fall in love!","When you meet a new person, it is hard to know what to expect. You may not be able to read the person or understand what they mean. Even if you want to have a good relationship with them, this lack of understanding can make interactions tense, unpredictable and scary! The same is true for a lot of people as they encounter statistics and mathematical ways of working with data. Statistics can be confusing and opaque. Symbols, Greek letters, very large and very small numbers, and how to interpret all of this can leave to feeling cold and disengaged—even fearful and resentful.
But in the modern information age, having a healthy relationship with statistics can make life a whole lot easier. We are constantly faced with an onslaught of data and claims about it—from news articles, to Facebook and blog posts, casual and professional conversations, reports at our workplace, advertising, and claims from politicians and public officials. How can we process that information, make sense of it, evaluate truth claims, and put ourselves in a position to act on the information? One of the most important ways is by befriending statistics and consistently using statistical ways of thinking. 
The purpose of this course, then is to help you develop a functional, satisfying, and useful life-long relationship with statistics. To achieve that goal, we will take a non-technical approach—you will learn how statistics work and why they are so helpful in evaluating the world of information that is around us. You will learn about the logic of statistical thinking and the concepts (rather than the mathematical details and probability theory) that guide statistical inferences and conclusions. 
You do not need to be a math whiz to take this course. If you can add, subtract, multiply, and divide (or just be able to use a calculator to do that!), you will be more than able to handle what will happen as this relationship develops. 
By the end of the course you will be able to:

Identify the most important features of a data set
Select a statistical test based on the features of the data
Think like a statistical detective
Understand the relationship between two different characteristics or variables
Perform some simple statistical calculations and draw some conclusions from real data
Hopefully, love stats! 

We’ll do all of this using entertaining examples related to real-life situations we all encounter in everyday life.",Introductory,4 weeks,4–6 hours per week,,Free,"₹ 4,089",English,English, None,
IBM Cloud Essentials,Computer Science,https://www.edx.org/course/ibm-cloud-essentials,,This course introduces you to the IBM Cloud. You will learn about the many offerings and services on IBM Cloud that make it the most open and secure public cloud for developers and enterprises.,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!
This course introduces you to the IBM Cloud. You will learn about the many offerings and services on IBM Cloud that make it the most open and secure public cloud for developers and enterprises.
The course begins with an introduction to the IBM Cloud platform which covers topics such as data center locations and configuring identity and access management. You will discover the various Infrastructure-as-a-Service (IaaS) options available on IBM Cloud. Next, you will learn about the deployment options on IBM Cloud; this includes topics such as Containers, Kubernetes, and OpenShift. You will also become familiar with IBM Cloud services such as Databases, Artificial Intelligence and Watson, Blockchain, Internet of Things, and many others.
In addition to videos, you will also see demos of various IBM Cloud features and services in action, as well as perform hands-on labs to gain practical experience with IBM Cloud at no charge.
This course is of interest to anyone who wants to be a cloud practitioner and use Cloud skills as developers, architects, system engineers, network specialists, and many other roles. The material also serves the needs of those who perform the tasks of advising, building, moving, and managing cloud solutions. This course is also suitable for learners who want to prepare for IBM Cloud Foundations Certification.",Introductory,5 weeks,5–8 hours per week,,Free,"₹ 4,007",English,English, None,
Introduction to Hyperledger Self-Sovereign Identity Blockchain Solutions,Computer Science,https://www.edx.org/course/identity-in-hyperledger-aries-indy-and-ursa,,"Learn how Hyperledger Aries, Indy, AnonCreds, and Ursa add a necessary layer of trust to the Internet, creating and using independent digital identities rooted on blockchains or other distributed ledgers.","To the surprise of absolutely no one, trust is broken on the Internet. Wherever you go online, the advice is the same--make sure you understand what's behind each button before you click it.
In this course, we'll dive into four Hyperledger open source identity-based projects--Indy, Aries, AnonCreds, and Ursa--looking at the tools, libraries, and reusable components they provide for creating and using independent digital identities rooted on blockchains or other distributed ledgers. We will explore the possibilities they offer for building applications on a solid digital foundation of trust and examine how these technologies can make the Internet safe. It's quite a challenge!
The course is addressed to a wide-ranging audience, walking the line between business and technology.",Introductory,7 weeks,2–3 hours per week,"11,041",Free,"₹ 16,273",English,English," The following would be “nice to have” but are not prerequisites for this course:


Blockchain: Understanding Its Uses and Implications (LFS170x)


Introduction to Hyperledger Blockchain Technologies (LFS171x)

",
IELTS Academic Test Preparation,Language,https://www.edx.org/course/ielts-academic-test-preparation,The University of Queensland,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.","IELTS is the world's most popular English language test for those wanting to study in higher education in an English-speaking country.
This IELTS course will prepare you to take the IELTS Academic tests with confidence. You will have immediate access to over 80 hours of interactive practice materials covering each of the four skills: listening, speaking, reading and writing.
This innovative preparation course has been designed and written by experienced English teaching professionals from The University of Queensland, an IELTS testing centre and one of the world's leading centres of learning. All of the course writers have extensive experience enabling students to reach their academic IELTS goal of entering a university where English is the primary language.
Each section of this course includes engaging multi-media presentations reviewing key test-taking skills, strategies and techniques. These are accompanied by a wide variety of authentic IELTS-style exercises and interactive activities that provide focused practice of the skills, strategies and techniques that you need to perform at your best.
In the new release of this IELTS preparation course, you will find a number of enhancements to an already-successful formula. The course appears with new videos and improvements to the explanation of answers as well as a number of new and engaging practice activities. Significantly, we have responded to requests from existing users to offer more comprehensive feedback on your writing using several new features.
As the course is self-paced, you can complete all of the course units in sequence, or only select the areas you want to focus on to prepare for the IELTS Academic tests. In completing this course, you will feel fully prepared to complete the IELTS Academic tests.
Students who select Verified enrolment in this course will have access to additional materials provided by the IELTSx course team.",Introductory,8 weeks,5–10 hours per week,"14,80,051",Free,$169 USD,English,English, None. This course is suitable for anyone preparing to take the Academic IELTS test.,
iLabX – The Internet Masterclass,"Computer Science, Engineering",https://www.edx.org/course/ilabx-the-internet-masterclass,Technische Universität München,You want to know how the Internet works? You want to fully understand computer networking and even set it up yourself? Then this course is for you!,"After more than 5 000 learners participated in the first two course runs in 2019 and 2020, we made this computer networking course even better! Do not miss your chance to become an Internet master!
The Internet is the world's biggest computer network. It connects everything, from people to machines, in all areas, from the art world to the stock exchange, everywhere on this planet and beyond. It has become one of our most important infrastructures. But how does this Internet that enables so many things in our daily lives actually work? After taking part in iLabX, you will not only understand the mechanisms behind modern computer networks, but you will create the Internet yourself on your own computer!
iLabX uses an award-winning methodology to teach you how the Internet works. Starting with the physical cables, you will learn, in six parts:

what exactly happens when you open a website in your browser or send a chat message to a friend,
how to set up a webserver yourself,
how the ongoing transition between the “old” Internet version and its current successor can be so seamless, and
key security concepts.

Each module first introduces the background of the relevant mechanisms and tools. After learning the concepts through videos, texts, and diverse interactive learning elements, you will build your own fully-functional Internet. Within our special vLab virtual Internet laboratory, you will use the same tools that also power the big Internet. Under our close guidance, each module brings you closer to having a fully-functional Internet running on your computer. As we use the real Internet mechanisms, we will even connect your creation to the real Internet at the end. Consequently, you can call yourself a true Internet master after completing this course!
When designing this course, we focused on making it exciting and continuously motivating for you. No matter what kind of learner you are, you will find the right learning experience! Our videos explain everything in detail. If you prefer reading instead, go ahead. You can read the texts instead of or in addition to the videos. We have many practical exercises and of course the virtual laboratory that allows you to configure the real Internet on your computer! Last but not least, we have an engaging story that continues through all parts: Help the iLabees scale their honey sales up, taking their business to the summit of the Internet mountains!",Introductory,8 weeks,4–6 hours per week,"6,236",Free,"₹ 10,549",English,English," 
Curiosity and motivation are required
Basic knowledge of computer science is beneficial
Knowing how to work on the command line helps but you will also learn it in the course
Background in computer networks is not required but will make you progress faster
",
Implementation of Data Structures,Computer Science,https://www.edx.org/course/implementation-of-data-structures,IITBombay,"Learn how to write correct and efficient data structures manipulation using existing standard template library (STL) of C++. Get introduced to the power of STL and make your code more solid, reusable, and robust.","In this Computer Science course, you will learn about implementation of all major abstract data structures using object-oriented programming paradigm of C++.
This course builds on the basic concepts developed in ‘Foundations of Data Structures’ course.
Topics covered:

Review of OO programming, STL of C++
Stacks
Queues
Lists
Trees
Graphs

This course is part of the Fundamentals of Computer Science XSeries Program:

Programming Basics
Object-Oriented Programming
Foundations of Data Structures
Algorithms",Intermediate,6 weeks,6–8 hours per week,,Free,"₹ 12,185",English,English, Concepts as covered in Object-Oriented Programming course and Foundations of Data Structures course.,
Improve your Java code using Amazon CodeGuru,Computer Science,https://www.edx.org/course/improve-your-java-code-using-amazon-codeguru,Amazon Web Services,"Learn how to use Amazon CodeGuru Reviewer to automatically identify issues and vulnerabilities to improve your code quality with our new digital course, Improve your Java Code using Amazon CodeGuru","Learn how to use Amazon CodeGuru Reviewer to automatically identify issues and vulnerabilities to improve your code quality with our new digital course, Improve your Java Code using Amazon CodeGuru. This course is designed for Java developers who are interested in learning how to use CodeGuru Reviewer to save time and improve their code review process. 
In this course, you’ll learn how to use CodeGuru Reviewer to detect issues and identify recommendations to improve the quality and security of your code. The course demonstrates how CodeGuru Reviewer finds code anomalies and explains how to understand and apply its automated suggestions. 
Developed at the source, this new digital course empowers you to learn about Amazon CodeGuru from the experts at AWS whenever, wherever you want. Advance your skills and knowledge to build your future in the AWS Cloud. Enroll today!",Intermediate,2 weeks,1–3 hours per week,,Free,"₹ 4,007",English,English, None,
Improve your Python code using Amazon CodeGuru,Computer Science,https://www.edx.org/course/improve-your-python-code-using-amazon-codeguru,,"Learn how to use Amazon CodeGuru Reviewer to automatically identify issues and vulnerabilities to improve your code quality with our new digital course, Improve your Python Code using Amazon CodeGuru.","Learn how to use Amazon CodeGuru Reviewer to automatically identify issues and vulnerabilities to improve your code quality with our new digital course, Improve your Python Code using Amazon CodeGuru. This course is designed for Python developers who are interested in learning how to use CodeGuru Reviewer to save time and improve their code review process. 
In this course, you’ll learn how to use CodeGuru Reviewer to detect issues and identify recommendations to improve the quality and security of your code. The course demonstrates how CodeGuru Reviewer finds code anomalies and explains how to understand and apply its automated suggestions. 
Developed at the source, this new digital course empowers you to learn about Amazon CodeGuru from the experts at AWS whenever, wherever you want. Advance your skills and knowledge to build your future in the AWS Cloud. Enroll today!",Intermediate,2 weeks,1–3 hours per week,,Free,$49 USD,English,English, None,
Improving Supply Chain Performance through Demand Planning,Data Analysis & Statistics,https://www.edx.org/course/improving-supply-chain-performance-through-demand-planning,,"Become a Demand Planning leader, capable of implementing and improving Sales and Operations Planning (S&OP), Integrated Business Planning (IBP) and Collaborative Planning Forecasting and Replenishment (CPFR) processes, to help top companies reduce inventory levels, stock-outs and inefficiencies, while increasing service levels and profitability for all stakeholders.","Demand planning has never been so critical to remain competitive in a rapidly changing business environment. Successful companies have to be sure that their demand planning processes are aligned with Supply Chain Management, Inventory Planning Strategies, Sales and Operations Planning, Integrated Business Planning, and Collaborative Planning best practices.
In this course, that is part of the edX Professional Certificate program to become a Certified Forecaster and Demand Planner (CFDP), you will learn how demand planning can improve supply chain processes and become a competitive advantage; by reducing shortages and improving customer satisfaction.
CFDP certified professionals are globally preferred by recruiters for decision making positions because they are capable to lead successful planning processes, coordinate partnerships and conduct global supply chain initiatives like CPFR.
To become an ISCEA Certified Forecaster and Demand Planner (CFDP), you must complete all three preparatory courses and successfully pass the CFDP Exam.",Introductory,4 weeks,2–8 hours per week,,Free,"₹ 24,451",English,English, None,
In the Margins of a Medieval Jewish Prayer Book:  What Can Physical Manuscripts Tell Us about History?,Language,https://www.edx.org/course/in-the-margins-of-a-medieval-jewish-prayer-book-what-can-physical-manuscripts-tell-us-about-history,,"This course is a case study of how a particular manuscript, a Jewish prayer book for high holidays, can provide historians with vital insights about Jewish communal life, the way a manuscript can help us map cultural change and continuity in the Middle Ages, and the history of the physical object itself. Elisabeth Hollender (Goethe University, Frankfurt) guides students through the examination of a late 13th century manuscript from Western Ashkenaz, focusing on how the manifold signs of change left in the manuscript illustrate and illuminate the history of a Jewish community in the Rhineland.","The course asks the following questions (and more): 


How can we locate a particular manuscript within a larger liturgical tradition?


What sorts of information can be gained about a community by looking at a manuscript as a physical object?


What do manuscripts tell us about the experience of medieval Jewish liturgical practice?


What physical changes to manuscripts present problems and opportunities for interpretation?",Advanced,4 weeks,1–2 hours per week,,Free,"₹ 2,372",English,English," There are no prerequisites for taking this course. However, we encourage learners to explore edX DemoX if they are unfamiliar with the edX platform.
Though this course can stand alone, it is the fifth part of a series exploring what can be learned from studying Jewish manuscripts. Part 1 is by Professor Y. Tzvi Langermann (PennX–Katz1.1x), part 2 is by Professor Alessandro Guetta (PennX–Katz1.2x), part 3 is by Professor Fabrizio Lelli (PennX–Katz1.3x), and part 4 is by Professor Judith Schlanger (PennX-Katz1.4x).",
Inclusive Energy Systems - Exploring Sustainable Energy for All,Engineering,https://www.edx.org/course/inclusive-energy-systems-exploring-sustainable-e-2,,"Explore the impact of social and technological changes on the future provision of clean and affordable energy services. Learn how to navigate towards an inclusive energy system for all world citizens, while satisfying greenhouse gas emission reduction targets.","The provision of sustainable energy services for all world citizens is a daunting challenge. Issues of energy poverty and energy injustice are encountered in all societies.
This course will focus on how can we can tackle those challenges and accomplish an Inclusive Energy System, in which energy services are recognized as a social right for every citizen. We will use a socio-technical systems approach to the energy system. By examining the system from various value perspectives we will discover new solutions for the inclusive provision of energy services beyond the purely technological solutions.
Our starting points for this course are the four A’s. These represent the main values of the energy system: Accessibility, Availability, Affordability, and Acceptability of energy services. Balancing these four critical and interdependent values is a recurrent challenge for every society, as the meaning of the four A’s evolves with economic development and changing societal preferences.
In this course you will be introduced to the challenges created by the evolution of the energy system and the values we expect it to uphold. How can we measure the four A’s? What are the trade-offs? How does the governance of the energy system impact those trade-offs? And how does it impact the nexus between water, food and energy? How can the institutional framework (e.g. laws, regulation, market design) be tweaked or redesigned to ensure a more inclusive energy system, aligned with principles of distributive and procedural justice?
Case studies from developed and developing countries will help you to develop and test your analytical skills. Interviews with industry leaders shaping the energy system will help you reflect on the position these leaders take and the interests they serve.
Lastly, you will put yourself to the test by demonstrating your newly acquired knowledge and skills by taking the role of a strategic policy advisor. You will be challenged to advise the strategic decision makers of your company, your city or your country on the policy interventions they should pursue to bring a more inclusive energy system into being.
After completing this course you will be able to engage in a richer, more informed debate about how to achieve an inclusive energy system. As an engineering professional, you will be able to translate this knowledge into strategies to serve society’s future energy needs.",Intermediate,6 weeks,3–4 hours per week,,Free,$50 USD,English,English, None,
Industrial Biotechnology,Engineering,https://www.edx.org/course/industrial-biotechnology-2,Delft University of Technology,Learn the basics of sustainable processing for biobased products to further understand their impact on global sustainability.,"As fossil-based fuels and raw materials contribute to climate change, the use of renewable materials and energy as an alternative is increasingly important and common. This transition is not a luxury, but rather a necessity. We can use the unique properties of microorganisms to convert organic waste streams into biomaterials, chemicals and biofuels. This course provides the insights and tools for the design of biotechnology processes in a sustainable way. Six experienced course leaders will teach you the basics of industrial biotechnology and how to apply these to the design of fermentation processes for the production of fuels, chemicals and foodstuffs. 
Throughout this course, you will be encouraged to design your own biotechnological process and evaluate its performance and sustainability. This undergraduate course includes guest lectures from industry as well as from the University of Campinas in Brazil, with over 40 years of experience in bio-ethanol production. The course is a joint initiative of TU Delft, the international BE-Basic consortium and University of Campinas.",Intermediate,7 weeks,6–8 hours per week,"17,076",Free,"₹ 11,367",English,English," 
High school understanding of mathematics
First year undergraduate level of (bio)chemistry and biology
",
Industrial IoT Fundamentals on AWS,Computer Science,https://www.edx.org/course/industrial-iot-fundamentals-on-aws,Amazon Web Services,"In this course, you'll get an Introduction to Industrial IoT and understand the profound difference between IoT and IIoT. Additionally, you'll get an introduction to IoT Greengrass, a powerful software suite that extends the benefits of AWS IoT Core to the edge.","Proficient technologists working on the Industrial IoT vertical use lots of technologies and methods to control, manage and get information from the IoT devices. So, there are assembly lines and industrial aspects that needs to take into consideration when talking about IoT when used in an industrial scale.
The story we are going to tell is about an individual who is new to that industry and got hired by a company who is planning to adopt to Industry 4.0 standards in next 3 years, the company is already familiar with some AWS services and already uses it for some other projects, such as their website and other workloads, so it makes sense for them to explore IIoT capabilities on AWS as well.
The company got into a multi-year partnership with AWS to help them transform and innovate, the company is also hiring lots of people with IoT and Cloud background, preferably with industrial exposure. As today, the company hired Engineers and Architects, but they have limited industrial experience. The company plans to up-skill their existing workforce of industrial engineers with Cloud knowledge to expand their resource pool over time, and due to this workforce, there is a clear knowledge gap on how to build an edge to cloud continuum from factories to cloud today.",Introductory,4 weeks,3–6 hours per week,,Free,"₹ 4,007",English,English, None,
Industry 4.0: How to Revolutionize your Business,"Computer Science, Engineering",https://www.edx.org/course/industry-40-how-to-revolutionize-your-business,The Hong Kong Polytechnic University,"An introduction to the fourth industrial revolution, it's major systems and technologies and how new products and services will impact business and society.","We have witnessed the power of mechanization in the early nineteen century, automation in the seventies, information and the internet in the last decades. But now, the adaptation of connected intelligence into the business and social fabrics is advancing at an astonishing speed, which will completely change the way we conduct business. 
In this course,we will discuss changes/predictions we forsee in the future, such as: 

The credit card business will fade out gradually
All currency will be bitcoin
Whereas traditional internet gives rise to digital divide, the mobile internet will narrow the wealth gap
Most e-business models will become obsolete, leaving customer to factory (C2F)
No more talents to hide except partners
Mobile phones will be outdated and replaced by augmented virtual reality (AVR)
Big corporates will transform to big platforms
The birth of real Internet economics
The death of global manufacturing to networked and dispersed manufacturing

This course will explain how these changes will be brought about by the extensive use of digital intelligence, which will be available on mobile, internet, and pervasive computing as homes, offices and factories become a well knitted cyber-physical system. 
Enabling tools such as Cloud Computing, Big Data, Internet of Things and Cyber Physical Systems are introduced. Automation, intelligence and collaborations are also discussed with particular reference to smart manufacturing, smart products/services and smart cities, and their opportunities and challenges. 
This is not a technical course; instead part of the focus is on organizational readiness, skills gaps and competencies for knowledge workers to fully leverage the power of Industry 4.0. 
Suitable for learners from all disciplines and interested in the mega changes to our society.",Introductory,6 weeks,6–8 hours per week,"34,634",Free,"₹ 13,820",English,English, None,
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,Engineering,https://www.edx.org/course/influencing-stakeholders-discover-your-leadershi-2,,Learn to lead teams and manage stakeholders effectively and strategically to encourage cooperation and successful performance.,"This course will soon be retired. Last day to enroll is 03/10/2023.
In our interconnected and complex world, leaders are faced with both internal and external stakeholders. Problems have to be solved within complex networks of stakeholders, each with their own dynamics, interests, perspectives and power. As leaders, engineers have clear advantages: they are analytical, technically skilled, project-based, good with numbers and well-used to problem-solving. However, engineers cannot rely on this skillset alone when exercising leadership in today's world.
In this course, you will learn how to develop and apply an influencing mindset, which will allow you to lead your team effectively and to successfully manage stakeholders. The course gives you the tools to operate within a network of stakeholders:

distinguish power and interests in networks of stakeholders
build trust
recognize roles and norms in groups
deal with conflict and cooperation
motivate group members
identify your own leadership style

Upon completion of this course, you will be introduced to an influencing mindset and toolkit, in order to use a set of cohesive strategies for dealing with stakeholders - both cooperative and non-cooperative stakeholders.",Intermediate,5 weeks,4–5 hours per week,"17,617",Free,"₹ 12,185",English,English," The course is designed for individuals who are in a leadership positions or preparing for such positions in the future. Few years' experience in an organizational setting will be an advantage, but is not a requirement.",
Information Technology Foundations,Computer Science,https://www.edx.org/course/information-technology-foundations,,"Information Technology Foundations examines IT as a discipline and its various roles and functions. The course covers IT disciplines including systems and services, network and security, scripting and programming, data management, and the business of IT. The course also surveys technologies within these disciplines.","Information technology (IT) can be viewed as a system, a combination of independent parts all working together to accomplish a certain goal. Systems are everywhere. For example, the respiratory, circulatory, nervous, and other subsystems of the body work together towards the common goal of keeping humans alive. IT is similar in that it consists of various subsystems all working towards a common goal. Information Technology Foundations will examine how the system called IT helps an organization advance its business goals and vision, resulting in improved growth, profits, and productivity.
The course will explore the different components of IT and how they work together as a system to support the different aspects of an organization. Specifically, the course will explore different categories of software such as operating systems, programming, and databases. The hardware components that will be examined are the structure of computers and their peripherals. The role of people will be an important focus of the course, describing which roles are necessary for the IT system to function efficiently and effectively. This focus includes the various administrative roles, the methodologies used by people tasked with developing new systems, and the ethical issues that must be considered by individuals involved with IT. In IT, as with many other systems, the independent parts must be integrated together to reach the common goal. This integration is accomplished by networking, which encompasses the core components of hardware, software, and users. IT supports and improves many aspects of an organization, including communication (both internal and external), resource sharing, cross-department integration, information management, security of organization and employee information, and organization adherence to ethical practices.",Introductory,6 weeks,9–10 hours per week,"19,778",Free,"₹ 18,178",English,English, None,
